Chinese philosophy	Ancient schools of thought shaping East Asian intellectual traditions.
Taojia ("School of the Tao")	Philosophical Taoism emphasizing natural harmony and effortless action.
Fajia ('School of Law")	Legalist school advocating strict laws and statecraft for social order.
Zonghengjia ("School of Diplomacy")	Strategist school teaching persuasion and political maneuvering.
Mojia ("School of Mo")	Utilitarian school promoting universal love and practical benefits.
Mingjia ("School of Names")	Logician school studying language, paradoxes, and semantic precision.
Nongjia ("School of Agrarianism")	Agricultural school emphasizing farming knowledge and peasant values.
Rujia ("School of Scholars")	Confucian school teaching ritual propriety and moral cultivation.
Yangism	Egoistic philosophy advocating self-preservation and individual benefit.
Yinyangjia ("School of Yin Yang")	Cosmological school teaching dualistic principles and five elements.
Zajia ("School of Syncretism")	Eclectic school synthesizing ideas from multiple philosophies. 
Confucianism	Ethical system emphasizing filial piety, ritual, and moral governance.
Confucian ritual religion	Religious practice centering on ancestor worship and state rituals.
Donglin movement	Ming reform movement advocating moral integrity in government.
Han Learning	Qing scholarly movement returning to pre-Song classical interpretation.
Korean Confucianism	Korean adaptation emphasizing loyalty and social hierarchy.
Donghak	Korean syncretic religion blending Confucianism with egalitarian ideals.
Silhak	Korean "Practical Learning" movement advocating empirical research.
Lingnan Confucianism	South Chinese school integrating local and classical traditions.
Neo-Confucianism	Song revival synthesizing Confucianism with Buddhist metaphysics.
Cheng-Zhu school	Orthodox Neo-Confucian school emphasizing principle and cultivation. 
Edo Neo-Confucianism	Japanese interpretation focusing on social order and samurai ethics.
Tongcheng school	Literary movement emphasizing moral content and classical prose style.
Yangmingism	Neo-Confucian school teaching innate moral knowledge and unity of action.
Taizhou School	Radical Yangming branch emphasizing common people's enlightenment.
New Confucianism	Modern revival integrating Confucian values with Western philosophy.
Confucian church	Religious organizations institutionalizing Confucian worship and rites.
Indonesian Confucianism	Southeast Asian adaptation recognized as official religion in Indonesia.
Confucian Academy	Educational institutions teaching classical texts and moral philosophy.
Progressive Confucianism	Modern interpretation advocating social reform and gender equality.
New Text Confucianism	Han school using reformed classical texts with esoteric meanings.
Changzhou school	Qing New Text school advocating institutional reform.
Gongyang school	New Text tradition emphasizing political philosophy and three ages.
Holy Confucian Church	Religious movement venerating Confucius as divine sage.
Old Text Confucianism	Han school using ancient texts emphasizing historical literalism.
Tianzuism	Syncretic Chinese teaching combining Confucianism with Christianity.
Taigu school	Ming movement teaching sudden enlightenment and universal salvation. 
Taoism	Chinese tradition emphasizing harmony with Tao through naturalness and balance.
Dokyo	Japanese Taoism adapted with Shinto and esoteric Buddhist elements.
Korean Taoism	Korean adaptation incorporating local shamanic and Confucian influences.
Kunlun	Mystical mountain tradition emphasizing immortality practices.
New Taoism	Modern revival adapting classical teachings to contemporary context.
Qigong	Energy cultivation practice integrating breath, movement, and meditation.
Zhong Gong	Modern qigong movement combining Taoist and Buddhist techniques.
Quanzhen School ("School of the Fulfilled Virtue")	Monastic order emphasizing internal alchemy and meditation.
Shangqing School ("School of the Highest Clarity")	Visionary tradition using meditation and revealed scriptures.
Way of the Five Pecks of Rice	Early communal movement with healing and tax collection rituals.
Way of the Celestial Masters	Organized tradition with priests, rituals, and hierarchical structure.
Northern Celestial Masters	Branch emphasizing monastic discipline and internal alchemy.
Zhengyi Dao ("Way of the Right Oneness")	Liturgical tradition with hereditary priests and community rituals.
Syncretic Taoism	Schools blending Taoist, Buddhist, and Confucian teachings.
Dragon Gate Taoism	Quanzhen branch emphasizing meditation, celibacy, and ascetic practice.
Wuliupai ("School of Wu-Liu")	Internal alchemy school teaching dual cultivation methods.
Huang–Lao	Early political philosophy combining Taoism with Legalist governance.
Kōshin	Japanese folk practice blending Taoism with Buddhist and Shinto elements.
Xuanxue ("Neo-Taoism")	Philosophical movement emphasizing metaphysics and naturalism.
Yao Taoism ("Meishanism")	Ethnic Yao tradition blending Taoism with ancestral worship. 
Buddhism	Tradition teaching impermanence, non-self, and middle path to nirvana.
Pre-sectarian Buddhism (theorized)	Earliest hypothetical form before sectarian divisions emerged.
Mahayana	"Great Vehicle" emphasizing bodhisattva path and universal liberation.
Chinese Buddhism	Sinicized traditions integrating local philosophy and culture.
Tiantai	Chinese school teaching all beings' Buddha-nature and Lotus Sutra primacy.
Tendai	Japanese adaptation of Tiantai with esoteric and Pure Land elements.
Cheontae	Korean transmission of Tiantai emphasizing meditation and study.
Huayan school	Chinese tradition teaching interpenetration and totality doctrine. 
Baiyunzong (syncretic)	Medieval Chinese movement blending Buddhism, Taoism, and Confucianism.
Daśabhūmikā	Mahayana teaching on ten bodhisattva stages toward enlightenment.
Chan Buddhism	Chinese meditation school emphasizing direct insight and transmission.
Seon Buddhism	Korean Zen emphasizing sudden enlightenment through meditation and koans.
Jogye Order	Largest Korean Buddhist order combining meditation and scriptural study.
Kwan Um School	International Korean Zen teaching "don't know" mind and social engagement.
Taego Order	Korean order allowing married clergy and emphasizing accessibility.
Thiền Buddhism	Vietnamese Zen blending meditation with devotional and social practice.
Tiep Hien Order	Thich Nhat Hanh's Order of Interbeing emphasizing mindfulness and peace.
Trúc Lâm (syncretic)	Vietnamese school combining Zen, Pure Land, and Confucian ethics.
Zen Buddhism	Japanese meditation tradition emphasizing zazen and sudden awakening.
Japanese Zen	Japanese schools developing unique koan systems and monastic forms.
Caodong school	Chinese lineage emphasizing silent illumination and gradual cultivation.
Sōtō	Japanese Caodong branch teaching "just sitting" and Buddha-nature realization.
Keizan line	Major Sōtō transmission through Keizan Jōkin's teachings and disciples.
Jakuen line	Minor Sōtō transmission lineage with distinct teaching methods.
Giin line	Sōtō lineage descended from Giin emphasizing specific practice methods.
Linji school	Chinese lineage using koan practice and sudden enlightenment methods.
Otokan line	Major Rinzai transmission lineage in Japanese Zen.
Rinzai	Japanese Linji branch emphasizing koan study and sudden awakening.
Ōbaku	Japanese Zen blending Rinzai and Pure Land with Chinese cultural elements.
Fuke-shū	Shakuhachi flute-playing Zen sect emphasizing non-traditional practice.
Sanbo Kyodan	Modern lay Zen movement integrating Sōtō and Rinzai approaches. 
Madhyamaka	Middle Way philosophy teaching emptiness and non-dualistic truth.
Sanlun	Chinese Three Treatise school teaching emptiness and refuting views.
Prasaṅgika	Madhyamaka branch using consequentialist reasoning to refute positions.
Svatantrika	Madhyamaka branch using autonomous syllogisms and conventional truth.
Nichiren Buddhism	Japanese tradition centering on Lotus Sutra chanting and social reform.
Fuju-fuse	Strict Nichiren sect refusing to give or receive from non-believers.
Honmon Butsuryū-shū	Nichiren school emphasizing faith, practice, and social engagement.
Kempon Hokke	Orthodox Nichiren branch rejecting modern compromises and innovations.
Nichirenism	Political-religious nationalism based on Nichiren's teachings.
Nichiren Shōshū	Orthodox Nichiren school claiming sole legitimate transmission.
Nichiren Shū	Main Nichiren denomination balancing tradition with modern adaptation.
Pure Land Buddhism	Devotional schools emphasizing Amitabha Buddha and Western Paradise.
Jōdo Shinshū	"True Pure Land" teaching salvation through faith alone, not works.
Honganji-ha	Larger Jōdo Shinshū branch with headquarters in Kyoto's Nishi Honganji.
Ōtani-ha	Jōdo Shinshū branch based at Higashi Honganji with distinct lineage.
Ohigashi	Minor Pure Land school with unique ritual and organizational traditions.
Yuzu Nembutsu	School teaching interpenetration of merit from collective chanting.
Seizan	Jōdo-shū branch emphasizing scholarly study alongside nembutsu practice.
Jōdo-shū	Pure Land school teaching Buddha-invocation with self-effort and grace.
Chinzei	Main Jōdo-shū branch following Honen's disciple Benchō's interpretation.
Yogācāra	"Mind-only" philosophy teaching consciousness transformation and idealism.
East Asian Yogācāra	Chinese/Japanese schools adapting Yogacara consciousness teachings. 
Nikaya Buddhism (also called "Hinayana")	Early schools preserving Pali canon and monastic discipline.
Theravada	"Way of Elders" emphasizing individual liberation through meditation.
Sangharaj Nikaya	Bangladeshi order led by chief monk with state recognition.
