Role Family,Role,Role Description,Role Level,Role Level Description,Skill Name,Skill Description,Skill Level,Skill Level Description,Role Type
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Associate business architect,"An associate business architect uses their knowledge and experience to address business scenarios. They continue to get support and training for their role.

At this role level, you will:
- apply architectural methods following direction and wider strategy to produce outputs
- break down complexity and produce clear outputs
- explain complex business problems using clear language and artefacts
- bring together disconnected information to inform decision making
- recognise issues that cut across different areas of the organisation and present opportunities for improvement",Business architecture,Business architecture involves using industry standards to develop integrated views of an organisation that help implement organisational strategy and solve complex problems.,Working,"You can:
- help support the adoption of business architecture
- clearly communicate business architecture frameworks, principles, and techniques
- support the production of a multidimensional view of your organisation
- assess the impact of strategies on the organisation, highlighting risks and issues",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Associate business architect,"An associate business architect uses their knowledge and experience to address business scenarios. They continue to get support and training for their role.

At this role level, you will:
- apply architectural methods following direction and wider strategy to produce outputs
- break down complexity and produce clear outputs
- explain complex business problems using clear language and artefacts
- bring together disconnected information to inform decision making
- recognise issues that cut across different areas of the organisation and present opportunities for improvement",Communicating information,Communication involves conveying information using the most effective medium and language for the audience.,Practitioner,"You can:
- work collaboratively in a group and build relationships with others
- identify issues through Agile 'health checks' and work with others to address them
- manage stakeholder expectations
- be flexible and capable of proactive and reactive communication
- host or moderate difficult discussions within the team or with senior stakeholders",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Associate business architect,"An associate business architect uses their knowledge and experience to address business scenarios. They continue to get support and training for their role.

At this role level, you will:
- apply architectural methods following direction and wider strategy to produce outputs
- break down complexity and produce clear outputs
- explain complex business problems using clear language and artefacts
- bring together disconnected information to inform decision making
- recognise issues that cut across different areas of the organisation and present opportunities for improvement",Consultancy,Consultancy involves providing specialist advice to address stakeholder and business needs.,Working,"You can:
- provide advice, guidance and recommendations based on your specialist knowledge and experience
- propose methodologies to follow and approaches to implementation
- frame problems so they can easily be understood, and troubleshoot where required, to support the business in operating more effectively",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Associate business architect,"An associate business architect uses their knowledge and experience to address business scenarios. They continue to get support and training for their role.

At this role level, you will:
- apply architectural methods following direction and wider strategy to produce outputs
- break down complexity and produce clear outputs
- explain complex business problems using clear language and artefacts
- bring together disconnected information to inform decision making
- recognise issues that cut across different areas of the organisation and present opportunities for improvement",Making and guiding decisions,MISSING,Working,"You can:
- make decisions characterised by managed levels of risk and complexity, and recommend decisions as risk and complexity increase
- resolve technical disputes between wider peers and indirect stakeholders, considering all views and opinions",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Associate business architect,"An associate business architect uses their knowledge and experience to address business scenarios. They continue to get support and training for their role.

At this role level, you will:
- apply architectural methods following direction and wider strategy to produce outputs
- break down complexity and produce clear outputs
- explain complex business problems using clear language and artefacts
- bring together disconnected information to inform decision making
- recognise issues that cut across different areas of the organisation and present opportunities for improvement",Methods and tools,MISSING,Working,"You can:
- select and use the most appropriate tools and techniques to support the planning, analysis, development, testing, implementation and improvement of systems and services within a project",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Associate business architect,"An associate business architect uses their knowledge and experience to address business scenarios. They continue to get support and training for their role.

At this role level, you will:
- apply architectural methods following direction and wider strategy to produce outputs
- break down complexity and produce clear outputs
- explain complex business problems using clear language and artefacts
- bring together disconnected information to inform decision making
- recognise issues that cut across different areas of the organisation and present opportunities for improvement",Stakeholder relationship management,"Stakeholder relationship management involves building trust, managing stakeholder expectations and communications, and remaining focused on user needs.",Working,"You can:
- identify important stakeholders and communicate with them clearly and regularly
- tailor communication to stakeholders' needs and work with them to build relationships while meeting user needs
- build and reach consensus with stakeholders
- work to improve stakeholder relationships using evidence to explain decisions",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Associate business architect,"An associate business architect uses their knowledge and experience to address business scenarios. They continue to get support and training for their role.

At this role level, you will:
- apply architectural methods following direction and wider strategy to produce outputs
- break down complexity and produce clear outputs
- explain complex business problems using clear language and artefacts
- bring together disconnected information to inform decision making
- recognise issues that cut across different areas of the organisation and present opportunities for improvement",Strategic thinking,Strategic thinking involves creating a plan to achieve a team or organisation's objectives.,Working,"You can:
- work within a strategic context and communicate how activities meet strategic goals
- contribute to the development of strategy and policies",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Business architect,"A business architect uses their knowledge and experience to understand business scenarios, communicate the issues and recommend next steps. They support and guide other business architects.

At this role level, you will:
- support executive level work and management of the business architecture practice
- guide others in using appropriate business architectural tools and methods
- understand and apply business architectural principles, techniques, and tools to business scenarios
- create business architecture artefacts, including abstract representations of the organisation, knowing when to apply them
- develop standard and scalable models to collect, aggregate, or disaggregate complex information",Business architecture,Business architecture involves using industry standards to develop integrated views of an organisation that help implement organisational strategy and solve complex problems.,Practitioner,"You can:
- apply and develop business architecture frameworks, principles and techniques in your organisation
- advise and guide the organisation to inform the implementation of its strategy
- share the value of business architecture with the organisation
- produce clear multidimensional views of your organisation to support decision making",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Business architect,"A business architect uses their knowledge and experience to understand business scenarios, communicate the issues and recommend next steps. They support and guide other business architects.

At this role level, you will:
- support executive level work and management of the business architecture practice
- guide others in using appropriate business architectural tools and methods
- understand and apply business architectural principles, techniques, and tools to business scenarios
- create business architecture artefacts, including abstract representations of the organisation, knowing when to apply them
- develop standard and scalable models to collect, aggregate, or disaggregate complex information",Communicating information,Communication involves conveying information using the most effective medium and language for the audience.,Expert,"You can:
- mediate between people and mend relationships, communicating with stakeholders at all levels
- manage stakeholder expectations and host or moderate discussions about high risk and complexity, even within constrained timescales
- speak on behalf of and represent the community to large audiences inside and outside of government",
Architecture,Business architect,"A business architect develops an integrated view of an enterprise, such as a business area or organisation. They use this view to help their organisation put its strategy in place.

In this role, you will: 
- understand and apply business architectural principles, techniques, and tools to business challenges
- ensure design work from projects and programmes aligns with strategy
- ensure business change is implemented effectively to meet strategy
- aggregate and disaggregate complex information from across your organisation
- communicate complex information about the organisation to stakeholders",Business architect,"A business architect uses their knowledge and experience to understand business scenarios, communicate the issues and recommend next steps. They support and guide other business architects.

At this role level, you will:
- support executive level work and management of the business architecture practice
- guide others in using appropriate business architectural tools and methods
- understand and apply business architectural principles, techniques, and tools to business scenarios
- create business architecture artefacts, including abstract representations of the organisation, knowing when to apply them
- develop standard and scalable models to collect, aggregate, or disaggregate complex information",Consultancy,Consultancy involves providing specialist advice to address stakeholder and business needs.,Practitioner,"You can:
- provide advice and recommendations to stakeholders based on your significant specialist knowledge and experience
- lead the definition of guidance and inform how the organisation approaches delivery or uses digital and data skills more effectively",
