Skill Name,Skill Description,Awareness,Working,Practitioner,Expert,Roles that require Skill
Accessibility,"Accessibility involves ensuring your service can be used by as many people as possible, including those with impaired vision, motor difficulties, cognitive impairments, learning disabilities and deafness.","You can:
- understand accessibility and that users have different accessibility needs
- help fix accessibility issues under the direction of others","You can:
- understand users have different accessibility needs
- build user interfaces that meet accessibility standards and fix accessibility issues under the direction of others","You can:
- build user interfaces that meet a predefined set of standards
- champion accessibility to internal stakeholders
- offer design feedback to mitigate the risk of failing accessibility testing
- offer recommendations on the best tools and methods to use when accessibility testing","You can:
- show a strong understanding of accessibility and be an advocate for users with accessibility needs
- build user interfaces that meet a predefined set of standards
- champion accessibility to internal and external stakeholders
- offer design solutions to mitigate the risk of failing accessibility testing
- recommend the best tools and methods to use when accessibility testing",Frontend developer
Adapting to delivery methodologies,"Adapting to delivery methodologies involves contributing to discussions on the appropriate delivery methodology to use, and adapting your approach based on the delivery methodology of the team.","You can:
- explain the differences between delivery methodologies, such as scrum or kanban
- explain how your approach would change based on the delivery methodology
- explain why iteration is important
- explain how roles in a multidisciplinary team work together to support delivery","You can:
- explain how products and services are delivered through different methodologies
- follow an appropriate approach to complete your work within the delivery methodology used by your team
- adapt how you work and the work you produce based on your team's delivery methodology to ensure you deliver value
- adapt how you work with other roles in a multidisciplinary team in line with the delivery methodology","You can:
- determine the approach for your role within the team's delivery methodology
- define and agree the scope of delivery for your role within a multidisciplinary team
- negotiate and agree delivery priorities with the team and relevant stakeholders
- clearly communicate the value of iterative delivery and realising benefits early","You can:
- set and iterate standards for working within different delivery methodologies
- actively promote collaboration and agreement to ensure the team delivers value at the right time
- experiment with new and innovative ways of working to enhance delivery outcomes
- research new and evolving delivery methodologies and identify how your role would work within them","Business analyst, Service owner"
Agile and Lean practices,"Agile and Lean practices involves encouraging teams to build incrementally, test and iterate their work based on regular feedback and other useful data.","You can:
- explain the basic principles of Agile and Lean methodology
- discuss ways to apply Agile and Lean principles in a multi-disciplinary team
- explain why iteration is important","You can:
- demonstrate experience in applying Agile principles in practice
- provide a clear, open and transparent framework in which teams can deliver
- show an awareness of Agile tools and are starting to use them intelligently
- visualise and make visible the work of the team","You can:
- compare and select the most appropriate delivery methods and processes
- recognise, reflect and adapt when something does not work, encouraging experimentation
- use a blended approach depending on the context
- help teams to measure, evaluate and visualise outcomes
- encourage reflective practice to improve ways of working","You can:
- coach and lead teams in Agile and Lean good practices
- create and tailor the right approach for a team, challenging, evaluating and iterating the approach through the life cycle
- experiment with new and innovative ways of working to improve delivery across the organisation
- act as a recognised expert and advocate for Agile and Lean approaches","Delivery manager, Programme delivery manager, Product manager"
Agile research practices,"Agile delivery involves encouraging teams to build incrementally, test and iterate their work based on regular feedback and other useful data.","You can:
- describe agile working and the roles in a multidisciplinary digital team","You can:
- understand and explain the benefits and limitations of agile working
- design and conduct your research so the findings can be embedded into an agile workflow
- understand and work with the different roles in a multidisciplinary digital team to plan and do user research","You can:
- advocate for agile working
- adapt how you design and conduct research to respond to the complexity of the product environment
- understand the strategic decisions the team needs to make so you can design appropriate research
- influence decisions about priorities and agile processes in the team","You can:
- advocate for agile working at the organisational level and with senior stakeholders
- help organisations adopt agile research practices
- set standards and expectations of how research insights should be delivered to support delivery by agile teams
- coach and guide other user researchers to adopt agile ways of working",User researcher
Agile working,"Agile delivery involves encouraging teams to build incrementally, test and iterate their work based on regular feedback and other useful data.","You can:
- show an awareness of Agile methodology and the ways to apply the principles in practice
- take an open-minded approach
- explain why iteration is important
- iterate quickly","You can:
- demonstrate experience working in Agile, and an awareness of Agile tools and how to use them
- advise colleagues on how and why Agile methods are used and provide a clear, open and transparent framework in which teams can deliver
- adapt and reflect and be resilient
- see outside of the process","You can:
- identify and compare the best processes or delivery methods to use, including measuring and evaluating outcomes
- help the team to decide the best approach
- help teams to manage and visualise outcomes, prioritise work and adhere to agreed minimum viable product (MVP), priorities and scope","You can:
- coach and lead teams in Agile and Lean practices, determining the right approach for the team to take and evaluating this through the life of a project
- think of new and innovative ways of working to achieve the right outcomes
- act as a recognised expert and advocate for the approaches, continuously reflecting and challenging the team","Content strategist, Technical writer, Digital portfolio manager"
Agile working (content design),"Agile delivery involves encouraging teams to build incrementally, test and iterate their work based on regular feedback and other useful data.",This skill level is currently not defined.,"You can:
- demonstrate experience of working in Agile teams, including an awareness of Agile tools and how to use them
- advise colleagues on how and why Agile methods are used and provide a clear, open and transparent framework in which teams can deliver
- adapt and reflect and be responsive to feedback
- see outside of the process","You can:
- understand and demonstrate awareness of Agile methodology, and can apply an Agile mindset to your work
- work in a fast-paced, evolving environment and use an iterative and flexible approach to enable rapid delivery
- appreciate the importance of Agile project delivery to digital projects in government
- be unafraid to take risks and willing to learn from mistakes
- ensure the team has a situational awareness of one other’s work and how it relates to objectives and user needs
- use a range of tools and platforms to plan and manage your work","You can:
- coach and lead teams in Agile and Lean practices, determining the right approach for the team or the project
- evaluate and review the approach through the life of a project and can iterate and pivot accordingly
- think of new and innovative ways of working to achieve the right outcomes
- act as a recognised expert and advocate the approaches proposed, continuously reflecting on the work of the team and constructively challenging them to improve processes and delivery
- regularly assess and review capability within teams and ensure individuals have the skills needed to deliver",Content designer
Analysis,"Analysis involves examining, interpreting and analysing data to help make informed decisions.",This skill level is currently not defined.,"You can:
- apply the approach to real problems and consider all relevant information
- apply appropriate rigour to ensure a full solution is designed and achieves the business outcome","You can:
- monitor the analysis of a technical solution and ensure analysis is reused for similar problem sets
- review solutions and identify areas for change
- drive the collection of information that is used and analysed
- feed back on policy and requirements","You can:
- provide direction and lead on change regarding factors that feed into analysis
- monitor changes in the technical environment and assess whether risks are still at acceptable levels or whether previous decisions need to be revisited
- direct and influence others on best practice and policy",Security architect
Analysis and insight,"Analysis and insight involves examining, interpreting and analysing data to help make informed decisions.",This skill level is currently not defined.,"You can: 
- understand and work with colleagues to apply core techniques for analysis and insight
- present clear insights that colleagues can understand and use","You can:
- understand and help teams to apply a range of techniques to analyse data and provide insight
- be proactive and present compelling findings that inform wider decisions
- apply innovative approaches to resolve problems","You can:
- understand, teach and supervise a wide range of analysis techniques
- help organisations create and learn from strategic insights
- apply innovative approaches to resolve problems",Performance analyst
Analysis and synthesis,,"You can:
- show an awareness of the need for careful analysis of research data to produce clear findings","You can:
- understand how to apply basic techniques for the analysis of research data and synthesis of findings
- effectively involve your team in analysis and synthesis
- present clear findings that colleagues can understand and use","You can:
- understand and help teams to apply a range of methods to analyse research data and synthesise findings
- effectively engage sceptical colleagues in analysis and synthesis
- advise on the choice and application of techniques, and can critique colleagues’ findings to assure best practice","You can:
- help an organisation to adopt a wide range of analysis and synthesis techniques, and to continually assure, improve and innovate their practices to generate clear and valuable findings",User researcher
Analysis and synthesis (data ethics),,This skill level is currently not defined.,This skill level is currently not defined.,"You can:
- draw together, analyse and evaluate qualitative and quantitative data and information
- quickly read and interpret complex documents from a range of sources and distil to what is relevant
- turn research data into clear findings that inform decisions
- effectively involve colleagues in analysis and synthesis to increase consensus and challenge assumptions
- advise on the choice and application of techniques, and can critique colleagues’ findings to assure best practice
- help teams to define their project outcomes and ethical considerations, and to integrate ethical diagnostics and assessment","You can:
- expertly draw together, analyse and evaluate qualitative and quantitative data
- quickly read and interpret complex documents from a range of sources and distil to what is relevant
- turn research data into clear findings that inform data ethics decisions for the entire organisation
- build capacity in analysis and synthesis and involve others to increase consensus and challenge assumptions
- help teams to define project outcomes and ethical considerations, and to integrate ethical diagnostics and assessment
- help an organisation continually assure and improve their practices to generate clear and valuable data ethics findings",Data ethicist
